@RELATION kuet_validate_gender

@ATTRIBUTE Evaluation NUMERIC
@ATTRIBUTE Workload NUMERIC
@ATTRIBUTE FutureMacro NUMERIC
@ATTRIBUTE SupportGap NUMERIC
@ATTRIBUTE Financial NUMERIC
@ATTRIBUTE CGPA_ord NUMERIC
@ATTRIBUTE gender {'Male','Female'}

@DATA
3,5,5,2.5,2,4,'Female'
4.333,4.75,3.5,4,4,3,'Male'
3.667,3.75,3.5,3,4,2,'Male'
4,4.25,4.5,3.5,3,3,'Female'
5,5,5,5,1,5,'Female'
4.667,4,4.5,2.5,2,5,'Male'
4.667,4.75,5,3,4,4,'Male'
2.333,4,4.5,2.5,5,5,'Male'
4.333,4.25,3,3.5,5,5,'Male'
3,4.25,4,5,5,5,'Male'
4.667,5,5,1,4,4,'Male'
5,3.5,5,2,3,4,'Male'
3.333,4,4.5,3.5,4,5,'Male'
1.667,2.75,5,2,1,4,'Male'
1.333,4.75,4,3,3,2,'Male'
4.667,4,3.5,3,2,5,'Female'
2.667,4.75,4.5,3.5,2,5,'Male'
1.333,3.5,3,4,1,3,'Male'
4,4.75,4.5,4,3,5,'Female'
5,5,5,5,5,3,'Male'
4.333,5,5,3,4,5,'Male'
4,4.5,4.5,3,4,4,'Female'
4.667,5,5,3.5,5,3,'Female'
3.333,3.25,4.5,1.5,3,3,'Male'
4.667,2.25,4,5,5,2,'Male'
4.333,4.5,5,5,1,4,'Female'
3,3.25,3.5,3,1,4,'Male'
3.333,4.5,3.5,4,4,5,'Male'
4.667,4,4.5,2.5,5,1,'Male'
3.667,3.5,4,2,3,4,'Male'
4,3.25,4,3.5,4,3,'Male'
3.333,3.25,5,1,5,5,'Male'
4,3.5,3,2.5,3,2,'Male'
3.667,3.25,4,2.5,2,4,'Male'
3.667,4,5,3.5,2,2,'Male'
4.333,3.75,4.5,3,5,3,'Male'
5,4.5,3,4,3,2,'Male'
3.333,4.25,3.5,2,2,5,'Female'
5,5,5,3,5,4,'Female'
1.333,4.5,4.5,3,4,4,'Male'
5,4.75,4,2.5,5,1,'Female'
4.667,4.5,5,4.5,5,5,'Male'
5,4.25,4,2,5,3,'Female'
3.667,5,4,2.5,4,4,'Male'
4.667,3.75,4.5,3.5,2,4,'Male'
3,3.75,5,1,3,4,'Male'
4.667,3.25,5,3.5,5,4,'Male'
4.333,4,5,1.5,4,4,'Female'
3.667,4.25,4,4,4,3,'Male'
2.667,2.5,4.5,5,5,5,'Male'
3.333,4.5,4,2.5,4,4,'Male'
4,4.75,5,3.5,5,3,'Male'
4.667,4.25,3.5,2,5,3,'Male'
4.667,4,5,3,1,3,'Male'
2.667,3,3,2.5,1,4,'Male'
3.667,3,4,3,1,3,'Male'
4,3.75,4.5,3.5,3,5,'Female'
4.333,4,3,2.5,2,3,'Female'
5,3.5,4.5,2,1,4,'Male'
4,2.5,3.5,3.5,1,5,'Male'
4.667,4,4,1.5,5,3,'Male'
2.667,4.5,3.5,3.5,1,3,'Male'
3.333,4.25,4.5,3,4,3,'Male'
4,4,3,1,5,1,'Male'
4,4.25,3.5,1,5,1,'Male'
4.667,5,3.5,2,2,2,'Male'
3.667,4.5,4.5,2.5,3,5,'Male'
3.333,3.75,4.5,2.5,3,4,'Male'
3.667,2.75,5,3,1,4,'Male'
4.333,4.25,4,3.5,5,2,'Male'
3.667,3,5,2.5,2,5,'Male'
4.333,5,4,3,3,4,'Male'
5,4.75,4,2.5,4,3,'Male'
4.333,4,3,5,4,5,'Male'
5,4.5,3.5,2.5,4,2,'Male'
2.667,4.5,4.5,3,3,4,'Female'
4,3.25,4.5,3,5,4,'Female'
3.667,3.5,5,2.5,2,4,'Male'
5,3.75,3.5,4,4,5,'Male'
4.667,4.25,4.5,3.5,2,5,'Male'
5,4.75,3.5,3.5,5,3,'Female'
5,2,3.5,3.5,2,3,'Female'
4.667,5,3.5,3.5,2,3,'Male'
2.667,2,3,2.5,1,4,'Male'
4.667,4.5,5,2,2,5,'Male'
4,4.5,3.5,3.5,3,1,'Female'
5,3.5,5,2.5,3,4,'Male'
5,4.5,3,3.5,4,3,'Female'
4,4.25,5,2.5,5,5,'Male'
2.333,5,5,4,2,4,'Male'
2.333,4.5,2,4,1,4,'Male'
4.667,4.25,4,3.5,4,3,'Male'
3.667,3.75,4.5,2,2,4,'Male'
4,4.75,4.5,3,4,4,'Male'
3.667,4,2.5,2,1,5,'Male'
4.333,4,4.5,4,4,5,'Male'
2.667,3,5,2.5,4,4,'Male'
2.667,4,4.5,3.5,3,3,'Male'
4,4.5,4.5,4.5,5,3,'Male'
4.667,5,4.5,5,1,5,'Male'
4.667,3.75,3.5,2.5,2,4,'Male'
5,4.5,4.5,3,5,5,'Female'
4,4,5,1,5,1,'Male'
4,4.75,3,3.5,4,2,'Male'
2.333,4.5,5,4,2,4,'Male'
4.333,3.25,2.5,1.5,4,4,'Male'
4.667,5,3.5,5,5,3,'Male'
2,4,4.5,2,1,5,'Male'
3.333,4.75,4.5,2,2,5,'Female'
4,3.25,4,3,5,5,'Male'
2.667,4.5,4.5,4,3,3,'Male'
4.667,3.75,4.5,3,2,3,'Female'
3.667,4.5,4,3,4,4,'Male'
3.333,2.75,4,2.5,3,5,'Male'
3.667,4.25,3.5,5,4,3,'Male'
2.667,3.5,2.5,2.5,4,4,'Male'
2.667,3.75,4,3.5,4,2,'Male'
4,4.75,4.5,3,4,4,'Male'
3.333,4.25,3.5,2,3,4,'Male'
5,4.25,4,3.5,3,4,'Female'
5,4.75,2.5,4,1,3,'Female'
4.667,3.75,4.5,5,2,1,'Female'
3.333,4.25,3.5,3,3,2,'Male'
3,3.25,3,3,3,3,'Male'
3,3.5,4.5,3,3,3,'Male'
4,4.75,5,4,5,4,'Male'
2.667,3.5,4,3,2,4,'Male'
3.667,5,5,2.5,4,4,'Male'
5,4.5,4.5,2.5,4,3,'Female'
5,4.5,3.5,3,2,4,'Male'
1.667,3.25,3,4,4,3,'Male'
5,4.5,4,2.5,5,3,'Male'
4.333,3.5,5,3.5,1,3,'Female'
5,4.25,3,4,5,4,'Female'
3.667,3.5,3,2,3,3,'Male'
4,3.75,5,3.5,4,3,'Male'
4.333,4,3,4,1,3,'Male'
4.333,4,3.5,4,1,3,'Female'
3.667,4.75,5,2.5,3,5,'Male'
4,4.25,2.5,3.5,4,4,'Male'
4.333,4.5,5,5,3,3,'Male'
5,5,4,5,3,3,'Male'
4.333,4.5,5,2.5,5,2,'Male'
4,4.5,4,2.5,4,4,'Female'
3.667,4.25,4.5,3.5,5,5,'Female'
3.333,4.75,5,3,4,4,'Male'
4.333,4.25,4,3.5,3,5,'Female'
3,4.5,4,3,1,5,'Male'
2.667,4.75,5,2.5,4,5,'Female'
3.667,4,4,1.5,2,4,'Male'
2.333,4.25,4,5,5,3,'Male'
4.333,4.25,3.5,2,2,3,'Male'
5,4.5,3.5,2,3,3,'Male'
2.333,5,5,3.5,5,3,'Male'
4,4.5,3.5,3,3,3,'Male'
1.667,4.75,3,2.5,3,2,'Male'
4.333,4.75,4,2,4,5,'Male'
3,4.25,3.5,2.5,3,1,'Male'
3,3.75,3.5,4.5,2,1,'Female'
4.333,5,3,3,5,4,'Male'
4,5,4.5,3,3,5,'Male'
4.667,4.5,4.5,4,4,3,'Male'
3.667,5,5,3,5,5,'Male'
4.333,3.75,5,4,5,4,'Female'
3.667,4,4,2,2,4,'Male'
4.667,4,3.5,2.5,1,3,'Female'
3.333,4,3,3,5,2,'Male'
4.333,4,3,1.5,4,4,'Male'
3.667,2.75,2.5,2,3,5,'Female'
4,4.25,4,2,4,4,'Male'
3.667,3.5,4,2.5,3,4,'Male'
3.667,3.75,3.5,2.5,3,5,'Male'
4,4.75,3.5,5,3,3,'Female'
4,3,4,3,1,4,'Male'
4,4.5,4.5,2.5,4,3,'Male'
4,3.75,4.5,3,2,3,'Male'
3.333,4.5,3.5,4,5,4,'Male'
3,4.5,3,3,3,1,'Male'
2.667,4.5,5,2.5,4,3,'Male'
4.667,2.5,5,3.5,2,3,'Male'
3.333,2,3.5,2.5,4,3,'Male'
4.333,3.5,5,3,4,5,'Male'
3.667,3.5,3.5,3,1,4,'Female'
3.667,3,3.5,1,1,4,'Male'
4.667,5,2.5,2.5,1,1,'Female'
5,3.75,4,5,1,4,'Female'
3.333,3.25,3.5,3.5,5,3,'Male'
5,4.25,3.5,2.5,5,3,'Female'
2,4,3.5,3.5,5,5,'Male'
3.667,3.75,4,3,4,4,'Female'
5,4.75,5,2.5,4,4,'Male'
3.667,4.25,4.5,3,2,4,'Female'
4.333,4.75,4.5,4,1,4,'Male'
4.333,4.5,5,2,3,2,'Male'
3.667,4.75,3,2,5,2,'Male'
3.333,5,5,4,4,1,'Female'
3.667,4.5,4,3,5,4,'Male'
3,4.75,4.5,2.5,1,4,'Female'
4,4.75,3.5,4,5,3,'Male'
3.333,4.5,4,3,3,3,'Male'
2.333,3.5,4,2,1,3,'Female'
1.667,4.5,4,4,2,5,'Male'
2.333,1.75,2,3.5,2,4,'Male'
5,3.5,5,4,4,3,'Male'
4,3.75,4,2,4,4,'Male'
1.333,4.5,3,5,5,4,'Male'
3,2,4,4,1,3,'Male'
2.333,5,3.5,4,3,3,'Male'
4.333,5,4.5,3,5,3,'Male'
5,4,3.5,4.5,4,2,'Male'
3.333,3,4.5,2,4,5,'Male'
4.333,4.5,5,1.5,4,3,'Male'
4.333,5,5,4,5,4,'Male'
1.667,4.75,2,3,4,5,'Male'
5,4.25,5,5,4,3,'Male'
3,4.5,4.5,1,5,3,'Male'
3.667,3,3,3,5,4,'Male'
5,3.25,4,4.5,3,5,'Male'
3.667,4.25,3,5,1,3,'Male'
3.333,3,5,5,4,3,'Male'
1,1,1,5,1,1,'Female'
4.333,5,5,4,4,3,'Male'
3,4.75,4.5,3.5,5,3,'Male'
3.667,4.5,4,2.5,3,3,'Male'
5,4.5,5,5,1,3,'Male'
3.667,5,4,3,2,4,'Male'
2.333,4.25,3.5,2.5,2,3,'Male'
3,3.25,3,2,1,3,'Male'
1.667,4.5,2.5,3.5,2,5,'Male'
4,4.75,3,3.5,2,3,'Male'
4.333,4.5,5,5,5,4,'Male'
4.667,3.75,5,3,5,5,'Male'
2.667,3.25,5,2.5,1,4,'Male'
2,4,4,2.5,2,4,'Male'
3.667,4.5,3,4,1,3,'Male'
5,4.25,5,2.5,5,3,'Male'
3.333,3,4,2,4,3,'Male'
2.333,4.75,3,5,1,3,'Male'
2.667,3.5,3,3.5,2,4,'Male'
4.333,5,5,3.5,2,4,'Female'
3.667,4.25,5,3,3,3,'Female'
3,5,4,2,1,3,'Male'
3.667,5,3,4.5,1,3,'Male'
2,3.25,4.5,4,3,3,'Male'
2.333,4.75,4,4,5,2,'Male'
2.667,3.5,5,4,4,3,'Male'
3,4,5,3,4,4,'Female'
3.667,4.25,5,1,1,4,'Male'
2.333,3.75,2.5,3,3,3,'Male'
3.667,4.75,4.5,3,3,4,'Male'
3.333,4,3.5,3,2,5,'Male'
3,2.75,3.5,3,2,3,'Male'
4.333,3.75,3,3,2,5,'Female'
4,4.25,4.5,2.5,4,3,'Female'
3,3.25,4.5,4,5,3,'Male'
3,4,3,3,4,5,'Male'
3,4.25,4,3,4,3,'Female'
4,4.25,5,4,5,5,'Male'
4.333,4.5,4,3,5,3,'Female'
1.333,4.25,4.5,3,4,4,'Male'
3.333,5,5,2,2,4,'Female'
3.667,3.5,3,2.5,4,5,'Male'
5,3.25,3.5,2,2,5,'Female'
4,4.75,4.5,3,4,5,'Male'
3.333,5,4,3.5,4,3,'Female'
3.667,4.25,5,5,5,5,'Male'
4.667,4.5,3.5,2.5,2,3,'Female'
3.333,5,4,2,1,5,'Female'
5,4.5,5,4.5,2,2,'Female'
2,2.25,4.5,2.5,4,4,'Male'
2.667,3,4.5,4.5,3,4,'Male'
5,5,4,4.5,5,3,'Male'
4.667,3.75,2.5,4.5,4,5,'Female'
4,5,5,3,4,3,'Male'
3.667,4.75,3.5,3,5,2,'Male'
4,4.75,4,3.5,5,2,'Male'
1,4.25,5,3,2,3,'Male'
5,2.75,4,2.5,5,3,'Female'
3.333,4.5,3.5,4,2,3,'Female'
4.667,4.75,3,3.5,1,3,'Female'
3,4.25,5,4,5,4,'Male'
3.333,3.75,5,4,1,5,'Female'
3.333,3.75,3,3,2,3,'Male'
5,3.25,5,3.5,3,3,'Male'
4.667,4.5,5,4,2,5,'Male'
4.333,4.75,5,3.5,5,4,'Male'
5,4.75,3.5,5,5,2,'Male'
3.333,3.5,3,1.5,1,4,'Male'
3.333,3,5,2.5,2,3,'Male'
4.333,4,4.5,2.5,3,3,'Male'
4,2.25,4.5,2.5,3,5,'Male'
3,4.75,3,4.5,4,2,'Male'
1.667,4.5,4.5,3.5,4,3,'Male'
4,4.25,5,3,3,4,'Male'
3,2.75,3.5,2.5,2,3,'Male'
4.667,5,4,5,5,3,'Male'
4,3.75,5,5,5,3,'Male'
3.667,5,4,5,5,3,'Male'
3.667,4.5,5,5,5,3,'Male'
3,3.5,3.5,3.5,2,3,'Male'
2.667,4.25,4,2,5,4,'Male'
3,5,3.5,3.5,3,2,'Male'
4,3.5,5,4.5,4,3,'Male'
2,3.5,3.5,2.5,3,4,'Female'
3.667,5,5,4.5,5,4,'Male'
3.667,3.75,5,3.5,3,4,'Male'
4,5,5,2.5,4,1,'Male'
3,4.5,4,4,3,4,'Male'
5,3.25,4.5,1.5,2,5,'Female'
4,4.5,4,2,4,3,'Male'
3.333,4,3,4,2,3,'Male'
3.333,5,5,3,4,3,'Male'
3.667,5,3.5,3,5,3,'Male'
4.667,4.25,3.5,4,5,3,'Male'
5,4.25,4,5,3,4,'Female'
2.667,4,3.5,2,1,4,'Male'
2,5,4.5,2.5,4,4,'Male'
4,4.5,5,4,5,3,'Male'
4.333,4.75,5,5,5,3,'Male'
3,4.25,5,2.5,2,5,'Male'
3.667,4.5,4,2,4,4,'Male'
4,4.25,4.5,3.5,2,4,'Male'
4.667,3.5,4,1,3,4,'Male'
2.333,3.75,4,2.5,4,3,'Male'
5,5,4.5,5,5,3,'Male'
3,4.75,5,3.5,3,4,'Female'
3.667,5,4.5,4,5,4,'Male'
2.333,4.5,3.5,4.5,5,3,'Male'
3.667,5,5,2,4,3,'Male'
4,4.5,5,4,1,3,'Female'
3.667,4.5,4.5,3.5,3,4,'Male'
5,4.75,5,1.5,5,3,'Male'
3.333,4.75,4.5,4.5,3,2,'Male'
4,3.75,3.5,3,2,4,'Female'
3.667,4.75,5,4,5,4,'Male'
2.333,4,4.5,4,2,4,'Male'
4,5,4,3,3,4,'Male'
3.333,4.5,3.5,3.5,4,3,'Female'
4.667,4.75,5,5,4,4,'Male'
3,4.75,3.5,5,4,4,'Male'
1.667,4.5,5,4,5,4,'Male'
3.333,4.5,3,3.5,3,4,'Male'
3.667,5,3,3,5,3,'Male'
5,4,5,3.5,5,4,'Male'
4.333,4.75,4.5,3.5,2,3,'Male'
4.667,4.25,4.5,3.5,3,4,'Female'
4,5,4.5,4.5,4,3,'Male'
3.667,5,4.5,3,3,3,'Male'
3.333,4.75,1.5,2.5,1,4,'Female'
2.667,3,3.5,4,3,3,'Male'
4.333,5,4.5,3.5,4,4,'Male'
4.667,4.25,3.5,4,5,5,'Male'
3,4.5,4.5,2.5,1,5,'Male'
2.667,4.75,3.5,4.5,1,5,'Female'
2.333,4.75,3.5,3.5,5,5,'Female'
4,5,4.5,3.5,5,2,'Male'
3.333,3,4.5,2,2,4,'Male'
5,4.5,4.5,5,2,3,'Female'
4.333,4.75,4,4.5,1,3,'Female'
2.333,3,2,3.5,1,4,'Male'
4,5,4,4,3,3,'Male'
3.333,4,3,4.5,3,4,'Male'
2,3,3,3,2,2,'Male'
3.667,5,4.5,1,5,1,'Male'
2.333,4.5,3.5,4,3,4,'Male'
2.667,4.5,4,3.5,1,3,'Female'
4,5,5,4,5,3,'Male'
4,2.75,3,4,4,3,'Male'
3,4.75,4,3.5,4,4,'Male'
4.333,5,5,4.5,5,3,'Male'
4,2.5,3.5,3,1,5,'Female'
4.667,4,4,2.5,1,2,'Male'
5,4,5,2,1,3,'Female'
3.333,3.25,4,4.5,2,4,'Male'
1.333,4.25,3.5,3.5,4,3,'Male'
5,3.75,4.5,3,4,4,'Male'
5,4.25,3.5,2.5,4,4,'Male'
4.667,4,3.5,4,5,3,'Male'
4.667,3.5,4.5,3,5,3,'Male'
3.333,5,5,4.5,4,5,'Male'
3,5,5,3.5,4,3,'Male'
4.333,4,4.5,2,3,1,'Male'
1,3.25,4,3,5,4,'Male'
3.333,3.75,4,5,3,4,'Female'
4,4.75,5,5,4,3,'Male'
3.333,4.5,4.5,1.5,2,4,'Male'
3.333,4.75,4,4.5,3,3,'Male'
4.333,4.75,4,4.5,5,4,'Male'
4.333,4.25,4.5,3.5,3,1,'Male'
4.667,4.75,3.5,3,4,3,'Female'
4.333,3.75,5,3.5,3,3,'Male'
5,4.75,4,1,1,1,'Female'
2.333,3.75,4.5,4,5,3,'Male'
4,4.25,4,4.5,2,4,'Female'
3.667,5,4,4.5,3,4,'Male'
2,3,4,3.5,5,3,'Female'
5,3,4,2.5,1,5,'Male'
4.667,4.75,4.5,4,5,4,'Female'
1.333,3,4,2,1,4,'Female'
3,4,4.5,3.5,5,3,'Male'
4,4.5,4.5,4.5,4,3,'Male'
4,5,5,2.5,4,5,'Male'
3.333,5,4.5,5,4,5,'Male'
4.333,4.5,4.5,2.5,5,5,'Male'
2.333,4.5,4,4.5,4,4,'Male'
2.667,5,4,3.5,5,3,'Male'
3.333,3.75,3,4.5,4,3,'Male'
3.667,4.5,5,3,5,1,'Male'
4,4.75,4,3,5,4,'Female'
4,4.5,3.5,3,4,2,'Female'
4.333,5,4.5,1.5,5,2,'Male'
4.333,3.25,3,2,4,4,'Male'
3.667,4.75,5,4,3,3,'Male'
5,5,4.5,3,3,4,'Female'
1.667,3.25,5,3,5,3,'Male'
2.667,4.75,2,5,1,3,'Male'
4.333,4,3.5,3.5,5,3,'Male'
2,5,4.5,4,4,4,'Male'
3.667,5,4,4,2,3,'Male'
4.333,4.25,3.5,3.5,2,4,'Male'
4,4.75,2.5,2,3,5,'Male'
4,4.25,2,3.5,2,1,'Male'
3.333,4.75,4,3.5,4,4,'Male'
2.667,2.5,3,3.5,2,3,'Male'
2,3,3.5,1.5,1,5,'Male'
3.667,4,3.5,5,5,4,'Male'
1.333,4,4.5,4,2,3,'Male'
3.667,5,4.5,4,2,3,'Male'
2,4.75,4,2.5,5,5,'Male'
3.667,4.25,3,2,5,3,'Male'
3,4.25,5,5,5,4,'Male'
3,4.5,5,2,3,4,'Male'
3.667,4.25,3.5,2.5,2,3,'Female'
3,3.75,4.5,3,4,3,'Male'
2.667,2.75,3,3.5,2,2,'Male'
2,5,4.5,4,5,3,'Male'
4.333,4.25,5,5,5,2,'Male'
1,3.75,5,2,5,4,'Male'
3.667,5,3,1.5,5,3,'Male'
2.667,3.75,3,1.5,3,2,'Male'
1.667,4.75,4.5,3.5,4,4,'Male'
1,4,4.5,5,1,4,'Male'
3.667,4.75,4,3.5,5,3,'Male'
3,3.75,4,3,4,4,'Male'
3.333,5,4.5,3,5,4,'Male'
3.667,4.75,4,5,3,4,'Female'
2,3.5,3,2.5,1,2,'Female'
3.333,4.75,4.5,3.5,5,5,'Male'
4.333,1.75,2.5,2.5,1,4,'Female'
4,4.25,4.5,3.5,1,3,'Male'
5,3,4.5,2,5,5,'Male'
3,4.5,5,3,5,5,'Male'
3,4.25,4,2.5,3,4,'Male'
3,3.75,3,3.5,2,3,'Male'
4,5,4.5,2.5,4,4,'Male'
4.667,4.25,4.5,2.5,3,5,'Female'
3,3.5,3.5,3,5,2,'Male'
3.333,4,5,2.5,4,5,'Male'
2.667,4.5,4.5,4,3,4,'Male'
3,4.75,4,5,5,3,'Male'
2.667,3.75,5,4,4,5,'Male'
2,3.25,3.5,2,3,2,'Male'
4,5,4.5,3,4,4,'Male'
4,5,4,2.5,3,4,'Male'
2,4.5,4.5,3.5,2,3,'Male'
1.667,4,3.5,3,3,4,'Male'
3.667,4.25,5,3.5,2,3,'Male'
2,2,3.5,1.5,1,5,'Male'
3.667,5,4,5,5,3,'Female'
4,4.25,5,4.5,5,5,'Male'
4.333,4.25,3,1.5,1,3,'Male'
3.333,4,4,2.5,4,4,'Male'
4.667,2.75,4,2,1,4,'Male'
4,3.75,4.5,2.5,2,4,'Female'
4.333,5,3.5,2,2,3,'Male'
2.667,3.75,2.5,4.5,1,4,'Female'
3,4.75,3.5,3.5,3,3,'Male'
4.333,3.75,4.5,3,3,5,'Male'
4.333,3.75,4.5,3,2,3,'Male'
3,4,5,4.5,5,3,'Male'
4.333,4.25,4,4,3,5,'Male'
3,5,4,4.5,5,5,'Male'
3.333,3,4.5,3,2,4,'Male'
4.667,3.5,4,5,4,2,'Male'
4.333,4.25,4.5,4,1,1,'Male'
4,2.75,4,4.5,4,4,'Male'
1.333,3.25,4,5,5,5,'Male'
3,3.5,2.5,2.5,2,4,'Male'
1.667,3.75,3,4.5,2,4,'Male'
5,2.75,4.5,4,3,4,'Male'
3.667,4,2.5,3.5,1,2,'Male'
2.667,4.75,2.5,2,1,3,'Male'
3.667,4.75,5,4.5,1,4,'Male'
4,2.25,4.5,3.5,2,4,'Female'
4.333,4.5,3,3,1,4,'Male'
4.667,4.75,4.5,1.5,2,5,'Female'
4,4.5,4,2.5,5,3,'Male'
5,3.75,4,3.5,2,4,'Female'
4.667,4.5,4.5,2.5,4,3,'Male'
3.333,3.5,5,4.5,2,3,'Male'
4.667,5,4,3.5,3,3,'Female'
5,4.25,3.5,3.5,4,3,'Male'
5,4,4.5,5,3,2,'Male'
4.667,4.5,5,2.5,3,4,'Male'
5,4.75,4.5,5,5,3,'Male'
5,1.25,5,2.5,5,4,'Male'
2.333,3.5,3.5,1.5,3,4,'Male'
3.333,4,4,2,2,4,'Male'
5,5,5,3,5,3,'Male'
3.667,4.5,4,4,5,5,'Male'
2,3.75,4.5,3,4,2,'Male'
1.667,3.5,4,4.5,5,5,'Male'
1.667,3.5,3.5,3,1,5,'Male'
4.667,4.75,4,5,5,2,'Male'
1.667,2.75,4,4.5,2,4,'Male'
4.667,4,5,3.5,4,3,'Male'
3,3.75,2.5,3,1,4,'Male'
3,3.25,3.5,2,4,4,'Male'
3.667,4.75,2,5,5,3,'Male'
4.333,4,4.5,4.5,3,5,'Male'
4.667,2.5,3,3.5,4,5,'Male'
4.333,3.75,4,4,3,4,'Female'
4,4,2.5,3,1,5,'Male'
5,3.25,4,3.5,5,3,'Male'
5,5,5,3,1,4,'Male'
4.667,3,4,5,4,4,'Male'
5,2.75,5,5,3,3,'Male'
3.667,4.25,4,3,5,5,'Male'
3.667,2.75,4,4.5,4,4,'Male'
3,4.25,4,2,2,4,'Male'
4.667,3,5,4,5,3,'Male'
4.667,2,4.5,2,3,5,'Male'
4.333,1.5,4,1,2,4,'Female'
3,3.25,4,2.5,1,5,'Female'
2.333,3.5,4.5,3,2,5,'Male'
4,2,2,5,5,5,'Female'
4.667,2.75,5,3,5,4,'Female'
3,4,5,3,5,3,'Male'
3,5,3.5,4,2,4,'Male'
3.667,3.75,3.5,4.5,5,1,'Male'
3.333,4.75,3.5,2.5,2,2,'Male'
4.333,3.75,4,3.5,3,4,'Male'
3.667,4,4.5,3.5,5,4,'Male'
3.333,2.25,3,2,2,3,'Female'
3.333,3.75,2,1,5,4,'Male'
3.333,4.25,2.5,3,1,2,'Male'
2.333,2.25,5,2,5,3,'Male'
4,4.25,5,3,4,4,'Male'
4.667,4.5,5,3,3,3,'Male'
3.333,4.75,5,3.5,4,4,'Male'
4.333,4.25,4,3,2,3,'Female'
4.333,4.25,5,4,1,1,'Male'
3.333,3,4.5,3,3,3,'Male'
5,4,5,3,4,2,'Female'
3.333,3.75,3.5,5,4,5,'Female'
3.667,4.25,4.5,1.5,5,3,'Male'
4.333,4.25,5,3.5,4,5,'Male'
4.333,4.25,3,4.5,5,2,'Male'
3,4.25,4,2,3,5,'Male'
3.667,5,5,1,5,3,'Male'
4.333,3.5,3,3,2,5,'Male'
3.667,3.75,3,3.5,3,4,'Male'
2.333,2.5,3,3.5,2,4,'Male'
3.333,4.75,3,5,1,5,'Male'
5,3.5,4.5,3,5,3,'Male'
4.333,2.5,3,2,1,4,'Male'
5,5,5,4,5,3,'Male'
4.333,3,5,2.5,2,3,'Male'
3.667,5,5,1,5,3,'Male'
4.667,4.5,4,3,2,5,'Male'
3.333,3.25,3.5,1,1,5,'Female'
3.667,4.5,4,3,1,4,'Male'
3.333,3.25,4,2.5,3,4,'Male'
3.667,3.75,3.5,3.5,3,5,'Male'
4,4,2.5,2,5,2,'Male'
5,4,5,3,5,1,'Male'
4,4.5,4.5,2.5,3,5,'Female'
3.667,2.75,4,3,1,5,'Male'
4.667,4.75,5,3,3,2,'Female'
4.333,4.25,3.5,3.5,1,3,'Female'
5,4,5,1,5,4,'Male'
3.667,3.75,2,3.5,3,3,'Male'
3,4.5,3.5,2,3,4,'Male'
4,3.5,3.5,3,2,4,'Female'
3.667,4,4,1.5,5,1,'Male'
3.667,3.75,3.5,3,1,2,'Male'
3.667,2.75,5,3,4,5,'Male'
5,4,4,3,3,1,'Male'
4.667,4.25,4,2,2,4,'Male'
